District,Percentage of Scheduled Caste Population _2001_Rural,Percentage of Scheduled Caste Population _2001_Urban,Percentage of Scheduled Caste Population _2001_Total,Percentage of Scheduled Caste Population _2011_Rural,Percentage of Scheduled Caste Population _2011_Urban,Percentage of Scheduled Caste Population _2011_Total,Rural_Growth,Urban_Growth,Total_Growth,Rural_Urban_Gap_2001,Rural_Urban_Gap_2011,Average_SC_Percentage,Priority_Score,CSA_Priority_Category,District_Encoded,CSA_RF_Full_Prediction,CSA_Prediction_Error
Chikkodi,15.74,29.49,17.67,13.53,26.26,15.18,-2.210000000000001,-3.229999999999997,-2.490000000000002,-13.749999999999998,-12.730000000000002,19.645,9.633999999999999,Low Priority,44,15.950633333333336,0.7706333333333362
Athani,13.47,19.0,14.17,14.64,21.43,15.51,1.17,2.4299999999999997,1.3399999999999999,-5.529999999999999,-6.789999999999999,16.37,10.386999999999999,Medium Priority,10,15.293633333333412,0.21636666666658755
Raibag,17.95,14.3,17.58,18.79,15.44,18.44,0.8399999999999999,1.1399999999999988,0.860000000000003,3.6499999999999986,3.3499999999999996,17.083333333333332,11.657,Medium Priority,175,18.40379999999994,0.036200000000061294
Gokak,8.11,7.36,7.9,9.44,9.6,9.48,1.33,2.2399999999999993,1.58,0.7499999999999991,-0.16000000000000014,8.648333333333333,6.178,Low Priority,63,9.39116666666667,0.08883333333332999
Hukkeri,13.47,10.74,13.07,14.35,14.77,14.41,0.879999999999999,4.029999999999999,1.3399999999999999,2.7300000000000004,-0.41999999999999993,13.468333333333334,9.089999999999998,Low Priority,92,14.28896666666664,0.12103333333335975
Belagavi,5.59,7.09,6.52,6.23,8.24,7.58,0.6400000000000006,1.1500000000000004,1.0600000000000005,-1.5,-2.01,6.875,5.067,Low Priority,25,7.388333333333317,0.1916666666666833
Khanapur,6.96,7.77,7.04,7.67,7.7,7.67,0.71,-0.0699999999999994,0.6299999999999999,-0.8099999999999996,-0.03000000000000025,7.468333333333334,4.794,Low Priority,120,7.801200000000016,0.13120000000001575
Savadatti,8.41,5.97,8.11,9.96,6.44,9.54,1.5500000000000007,0.47000000000000064,1.4299999999999997,2.4400000000000004,3.5200000000000005,8.071666666666667,6.505,Low Priority,185,9.552166666666643,0.012166666666644232
Bailhongal,5.13,6.82,5.4,5.64,6.44,5.77,0.5099999999999998,-0.3799999999999999,0.3699999999999992,-1.6900000000000004,-0.8000000000000007,5.866666666666667,3.6529999999999996,Low Priority,16,5.824199999999995,0.05419999999999536
Ramadurg,14.11,12.19,13.8,15.99,13.93,15.72,1.8800000000000008,1.7400000000000002,1.92,1.92,2.0600000000000005,14.29,10.214,Medium Priority,177,14.906466666666686,0.8135333333333143
Kitthuru,8.72,5.5,7.7,9.21,6.27,8.27,0.4900000000000002,0.7699999999999996,0.5699999999999994,3.2200000000000006,2.9400000000000013,7.611666666666667,5.427,Low Priority,121,8.608533333333316,0.3385333333333165
